Referencia,Artículo,Subartículo,Departamento,Sección,Almacén,Stock Ini.,Compra,Venta,Entrada,Salida,Fabricación,Depósito,Préstamo,Ajuste,Stock Fin.,Stock Fin. %ST,Coste Ini.,Coste Compra,Coste Venta,Coste Entrada,Coste Salida,Coste Fabricación,Coste Depósito,Coste Préstamo,Coste Ajuste,Coste Fin.,Coste Fin. %ST
EI05,CAPUCHINERA SIMONELLI,,,,ENSUEÑO,1,0,0,0,0,0,0,0,0,1,7,18.000.000,0,0,0,0,0,0,0,0,18.000.000,"1,589,922"
EI05,CAPUCHINERA SIMONELLI,,,,GRAN ESTACION,1,0,0,0,0,0,0,0,0,1,7,18.000.000,0,0,0,0,0,0,0,0,18.000.000,"1,589,922"
EI05,CAPUCHINERA SIMONELLI,,,,MALL PLAZA,1,0,0,0,0,0,0,0,0,1,7,18.000.000,0,0,0,0,0,0,0,0,18.000.000,"1,589,922"
EI05,CAPUCHINERA SIMONELLI,,,,PLAZA CENTRAL,1,0,0,0,0,0,0,0,0,1,7,18.000.000,0,0,0,0,0,0,0,0,18.000.000,"1,589,922"
EI05,CAPUCHINERA SIMONELLI,,,,RESTREPO,1,0,0,0,0,0,0,0,0,1,7,18.000.000,0,0,0,0,0,0,0,0,18.000.000,"1,589,922"
EI05,CAPUCHINERA SIMONELLI,,,,TERREROS,1,0,0,0,0,0,0,0,0,1,7,18.000.000,0,0,0,0,0,0,0,0,18.000.000,"1,589,922"
EI33,LICUADORA INDU,,,,BAHIA MERCURIO,2,0,0,0,0,0,0,0,0,2,14,17.022.185,0,0,0,0,0,0,0,0,17.022.185,"1,503,552"
EI33,LICUADORA INDU,,,,ENSUEÑO,2,0,0,0,0,0,0,0,0,2,14,17.022.185,0,0,0,0,0,0,0,0,17.022.185,"1,503,552"
EI33,LICUADORA INDU,,,,PLANTA,2,0,0,0,0,0,0,0,0,2,14,17.022.185,0,0,0,0,0,0,0,0,17.022.185,"1,503,552"
EI33,LICUADORA INDU,,,,PLAZA CENTRAL,2,0,0,0,0,0,0,0,0,2,14,17.022.185,0,0,0,0,0,0,0,0,17.022.185,"1,503,552"
EI33,LICUADORA INDU,,,,RESTREPO,2,0,0,0,0,0,0,0,0,2,14,17.022.185,0,0,0,0,0,0,0,0,17.022.185,"1,503,552"
IC60,SHOWY SALS AJO 1K PL,,,,BOSA,721,0,-30,0,0,0,0,0,0,691,"4,694","14.346.674,3",0,-596.949,0,0,0,0,0,0,"13.749.725,3","1,214,499"
PS06,PREMEZCLA AREPAS,,,,PLANTA,1.979.250,0,0,0,0,0,0,0,0,1.979.250,"13,444,136","11.293.399,4082",0,0,0,0,0,0,0,0,"11.293.399,4082","997,535"
DH76,VASO 9 OZ B FRIA,,,,BODEGA,62.393,0,0,0,0,0,0,0,0,62.393,"423,807","10.219.973,4",0,0,0,0,0,0,0,0,"10.219.973,4","90,272"
EI33,LICUADORA INDU,,,,CAFAM FLORESTA,1,0,0,0,0,0,0,0,0,1,7,"8.511.092,5",0,0,0,0,0,0,0,0,"8.511.092,5","751,776"
EI33,LICUADORA INDU,,,,CENTRO MAYOR,1,0,0,0,0,0,0,0,0,1,7,"8.511.092,5",0,0,0,0,0,0,0,0,"8.511.092,5","751,776"
EI33,LICUADORA INDU,,,,DIVER PLAZA,1,0,0,0,0,0,0,0,0,1,7,"8.511.092,5",0,0,0,0,0,0,0,0,"8.511.092,5","751,776"
EI33,LICUADORA INDU,,,,GRAN ESTACION,1,0,0,0,0,0,0,0,0,1,7,"8.511.092,5",0,0,0,0,0,0,0,0,"8.511.092,5","751,776"
EI33,LICUADORA INDU,,,,MALL PLAZA,1,0,0,0,0,0,0,0,0,1,7,"8.511.092,5",0,0,0,0,0,0,0,0,"8.511.092,5","751,776"
EI33,LICUADORA INDU,,,,TERREROS,1,0,0,0,0,0,0,0,0,1,7,"8.511.092,5",0,0,0,0,0,0,0,0,"8.511.092,5","751,776"
EI33,LICUADORA INDU,,,,UNISUR,1,0,0,0,0,0,0,0,0,1,7,"8.511.092,5",0,0,0,0,0,0,0,0,"8.511.092,5","751,776"
EI28,HORNO TOSTAD INDUST,,,,RESTREPO,8,0,0,0,0,0,0,0,0,8,54,7.840.000,0,0,0,0,0,0,0,0,7.840.000,"692,499"
MP15,CUAJADA PL,,,,PLANTA,599.86,0,0,0,0,0,0,0,0,599.86,"4,074,573",7.798.180,0,0,0,0,0,0,0,0,7.798.180,"688,805"
DH70,VASO 12 OZ B CALIEN,,,,BODEGA,35.85,0,0,0,0,0,0,0,0,35.85,"243,513",7.743.600,0,0,0,0,0,0,0,0,7.743.600,"683,984"
DH17,BOLSA LOGO MEDIANA,,,,BODEGA,39.2,0,0,0,0,0,0,0,0,39.2,"266,268",6.597.360,0,0,0,0,0,0,0,0,6.597.360,"582,738"
EI47,NEVERA PIZZA 2 M,,,,MALL PLAZA,1,0,0,0,0,0,0,0,0,1,7,6.200.000,0,0,0,0,0,0,0,0,6.200.000,"54,764"
PF68,QUESO MOZARELLA PL,,,,PLANTA,319.97,0,0,0,0,0,0,0,0,319.97,"2,173,409",6.015.436,0,0,0,0,0,0,0,0,6.015.436,"531,337"
EA15,PANTALLAS PARED,,,,CENTRO MAYOR,6,0,0,0,0,0,0,0,0,6,41,5.400.000,0,0,0,0,0,0,0,0,5.400.000,"476,977"
DH71,VASO 16 OZ JUGO PL,,,,BODEGA,22.65,0,0,0,0,0,0,0,0,22.65,"153,851",5.232.150,0,0,0,0,0,0,0,0,5.232.150,"462,151"
MP25,MANTEQUILLA PL,,,,PLANTA,287.033,0,0,0,0,0,0,0,0,287.033,"1,949,683","5.051.780,8",0,0,0,0,0,0,0,0,"5.051.780,8","446,219"
EI51,REFRIGERADOR 3 PUE IND,,,,GRAN ESTACION,2,0,0,0,0,0,0,0,0,2,14,5.000.000,0,0,0,0,0,0,0,0,5.000.000,"441,645"
EI51,REFRIGERADOR 3 PUE IND,,,,NUESTRO BOGOTA,2,0,0,0,0,0,0,0,0,2,14,5.000.000,0,0,0,0,0,0,0,0,5.000.000,"441,645"
EI51,REFRIGERADOR 3 PUE IND,,,,PLAZA CENTRAL,2,0,0,0,0,0,0,0,0,2,14,5.000.000,0,0,0,0,0,0,0,0,5.000.000,"441,645"
DH57,SERVILLETA,,,,BODEGA,156.3,0,0,0,0,0,0,0,0,156.3,"1,061,674",4.914.072,0,0,0,0,0,0,0,0,4.914.072,"434,055"
PF17,CAFE BLEND ESPRESSO,,,,BODEGA,92.5,0,0,0,0,0,0,0,0,92.5,"62,831",4.717.500,0,0,0,0,0,0,0,0,4.717.500,"416,692"
DH82,PORTA PIZZA RECT,,,,BODEGA,29.8,0,0,0,0,0,0,0,0,29.8,"202,418",4.410.400,0,0,0,0,0,0,0,0,4.410.400,"389,566"
DH75,VASO 9 OZ B CALIEN,,,,BODEGA,27.3,0,0,0,0,0,0,0,0,27.3,"185,436",3.985.800,0,0,0,0,0,0,0,0,3.985.800,"352,062"
UT01,BANDEJA,,,,PLANTA,423,0,0,0,0,0,0,0,0,423,"2,873","3.663.078,48",0,0,0,0,0,0,0,0,"3.663.078,48","323,556"
EA15,PANTALLAS PARED,,,,GRAN ESTACION,4,0,0,0,0,0,0,0,0,4,27,3.600.000,0,0,0,0,0,0,0,0,3.600.000,"317,984"
EA15,PANTALLAS PARED,,,,PLAZA CENTRAL,4,0,0,0,0,0,0,0,0,4,27,3.600.000,0,0,0,0,0,0,0,0,3.600.000,"317,984"
EA15,PANTALLAS PARED,,,,RESTREPO,4,0,0,0,0,0,0,0,0,4,27,3.600.000,0,0,0,0,0,0,0,0,3.600.000,"317,984"
MB21,MUEBLE MES MARM PUER,,,,PLAZA CENTRAL,2,0,0,0,0,0,0,0,0,2,14,3.600.000,0,0,0,0,0,0,0,0,3.600.000,"317,984"
MP19,HARINA MAIZ AMA PL,,,,PLANTA,490.22,0,0,0,0,0,0,0,0,490.22,"3,329,839",3.431.540,0,0,0,0,0,0,0,0,3.431.540,"303,104"
EI02,BASCULA INDUSTRIAL,,,,PLANTA,4,0,0,0,0,0,0,0,0,4,27,3.326.400,0,0,0,0,0,0,0,0,3.326.400,"293,818"
DH96,PORTA SANDWICH 10X20 PL,,,,BODEGA,16.37,0,0,0,0,0,0,0,0,16.37,"111,194",3.192.150,0,0,0,0,0,0,0,0,3.192.150,"281,959"
EI51,REFRIGERADOR 3 PUE IND,,,,BAHIA MERCURIO,1,0,0,0,0,0,0,0,0,1,7,2.500.000,0,0,0,0,0,0,0,0,2.500.000,"220,822"
EI51,REFRIGERADOR 3 PUE IND,,,,CENTRO MAYOR,1,0,0,0,0,0,0,0,0,1,7,2.500.000,0,0,0,0,0,0,0,0,2.500.000,"220,822"
EI51,REFRIGERADOR 3 PUE IND,,,,DIVER PLAZA,1,0,0,0,0,0,0,0,0,1,7,2.500.000,0,0,0,0,0,0,0,0,2.500.000,"220,822"
EI51,REFRIGERADOR 3 PUE IND,,,,RESTREPO,1,0,0,0,0,0,0,0,0,1,7,2.500.000,0,0,0,0,0,0,0,0,2.500.000,"220,822"
EI51,REFRIGERADOR 3 PUE IND,,,,TERREROS,1,0,0,0,0,0,0,0,0,1,7,2.500.000,0,0,0,0,0,0,0,0,2.500.000,"220,822"
EI51,REFRIGERADOR 3 PUE IND,,,,UNISUR,1,0,0,0,0,0,0,0,0,1,7,2.500.000,0,0,0,0,0,0,0,0,2.500.000,"220,822"
DH86,CAJA DOMIC PIZZA RECT,,,,BODEGA,4.6,0,0,0,0,0,0,0,0,4.6,"31,246",2.461.000,0,0,0,0,0,0,0,0,2.461.000,"217,378"
PF81,TE CHAI GR,,,,BODEGA,11.7,0,0,0,0,0,0,0,0,11.7,"79,473","2.321.099,82",0,0,0,0,0,0,0,0,"2.321.099,82","20,502"
PS01,PREMEZ GALLE GARULLA,,,,PLANTA,390.25,0,0,0,0,0,0,0,0,390.25,"2,650,789","2.226.726,8506",0,0,0,0,0,0,0,0,"2.226.726,8506","196,685"
EA23,CAMARAS,,,,PLANTA,6,0,0,0,0,0,0,0,0,6,41,2.220.000,0,0,0,0,0,0,0,0,2.220.000,"19,609"
DH18,BOLSA LOGO PEQUENA,,,,BODEGA,24.8,0,0,0,0,0,0,0,0,24.8,"168,455",2.140.240,0,0,0,0,0,0,0,0,2.140.240,"189,045"
DH16,BOLSA LOGO GRANDE,,,,BODEGA,6.75,0,0,0,0,0,0,0,0,6.75,"4,585",2.058.750,0,0,0,0,0,0,0,0,2.058.750,"181,847"
MP20,HARINA TRIGO PL,,,,PLANTA,734.116,0,0,0,0,0,0,0,0,734.116,"4,986,513","1.862.232,0572",0,0,0,0,0,0,0,0,"1.862.232,0572","164,489"
EA23,CAMARAS,,,,CENTRO MAYOR,5,0,0,0,0,0,0,0,0,5,34,1.850.000,0,0,0,0,0,0,0,0,1.850.000,"163,409"
EA23,CAMARAS,,,,RESTREPO,5,0,0,0,0,0,0,0,0,5,34,1.850.000,0,0,0,0,0,0,0,0,1.850.000,"163,409"
AS31,JABON REY,,,,DIVER PLAZA,101,0,0,0,0,0,0,0,0,101,686,"1.816.302,19",0,0,0,0,0,0,0,0,"1.816.302,19","160,432"
MB21,MUEBLE MES MARM PUER,,,,GRAN ESTACION,1,0,0,0,0,0,0,0,0,1,7,1.800.000,0,0,0,0,0,0,0,0,1.800.000,"158,992"
MB21,MUEBLE MES MARM PUER,,,,NUESTRO BOGOTA,1,0,0,0,0,0,0,0,0,1,7,1.800.000,0,0,0,0,0,0,0,0,1.800.000,"158,992"
MB21,MUEBLE MES MARM PUER,,,,TERREROS,1,0,0,0,0,0,0,0,0,1,7,1.800.000,0,0,0,0,0,0,0,0,1.800.000,"158,992"
MB21,MUEBLE MES MARM PUER,,,,UNISUR,1,0,0,0,0,0,0,0,0,1,7,1.800.000,0,0,0,0,0,0,0,0,1.800.000,"158,992"
PS09,PREMEZCLA RELLE AREPA CUAJ,,,,PLANTA,312.85,0,0,0,0,0,0,0,0,312.85,"2,125,046","1.785.090,31444",0,0,0,0,0,0,0,0,"1.785.090,31444","157,675"
PI28,SALSA DE FRUTOS ROJO TORTA ARANDANO,,,,CENTRO MAYOR,3.035,0,-140,0,0,0,0,0,0,2.895,"19,664","1.834.861,452",0,"-84.639,408",0,0,0,0,0,0,"1.750.222,044","154,595"
IC10,AREQUIPE PL,,,,PLANTA,177.87,0,0,0,0,0,0,0,0,177.87,"1,208,189","1.738.857,12",0,0,0,0,0,0,0,0,"1.738.857,12","153,591"
PF17,CAFE BLEND ESPRESSO,,,,GRAN ESTACION,"34.278,5",0,-607,0,0,0,0,0,0,"33.671,5","228,715","1.748.203,5",0,-30.957,0,0,0,0,0,0,"1.717.246,5","151,683"
PF17,CAFE BLEND ESPRESSO,,,,ENSUEÑO,33.997,0,-379,0,0,0,0,0,0,33.618,"228,352",1.733.847,0,-19.329,0,0,0,0,0,0,1.714.518,"151,442"
DH59,TAPA 16 OZ DOMO,,,,BODEGA,8.95,0,0,0,0,0,0,0,0,8.95,"60,793","1.584.597,5",0,0,0,0,0,0,0,0,"1.584.597,5","139,966"
PF17,CAFE BLEND ESPRESSO,,,,MALL PLAZA,"30.680,5",0,-787,0,0,0,0,0,0,"29.893,5","203,053","1.564.705,5",0,-40.137,0,0,0,0,0,0,"1.524.568,5","134,664"
PF17,CAFE BLEND ESPRESSO,,,,NUESTRO BOGOTA,30.591,0,-767,0,0,0,0,0,0,29.824,"202,581",1.560.141,0,-39.117,0,0,0,0,0,0,1.521.024,"134,351"
EA23,CAMARAS,,,,BAHIA MERCURIO,4,0,0,0,0,0,0,0,0,4,27,1.480.000,0,0,0,0,0,0,0,0,1.480.000,"130,727"
EA23,CAMARAS,,,,MALL PLAZA,4,0,0,0,0,0,0,0,0,4,27,1.480.000,0,0,0,0,0,0,0,0,1.480.000,"130,727"
EA23,CAMARAS,,,,PLAZA CENTRAL,4,0,0,0,0,0,0,0,0,4,27,1.480.000,0,0,0,0,0,0,0,0,1.480.000,"130,727"
IC34,LECHE POLVO PL,,,,PLANTA,50,0,0,0,0,0,0,0,0,50,"339,627",1.358.850,0,0,0,0,0,0,0,0,1.358.850,"120,026"
PF14,AROMATICA VERDES,,,,BODEGA,851,0,0,0,0,0,0,0,0,851,578,"1.358.732,13",0,0,0,0,0,0,0,0,"1.358.732,13","120,015"
PF33,HUEVOS PL,,,,PLANTA,2.232,0,0,0,0,0,0,0,0,2.232,"15,161",1.238.760,0,0,0,0,0,0,0,0,1.238.760,"109,418"
MB28,TABLA EXHIB PROD GR,,,,MALL PLAZA,12,0,0,0,0,0,0,0,0,12,82,1.216.386,0,0,0,0,0,0,0,0,1.216.386,"107,442"
PS02,PREMEZ RELLE GARULLA,,,,PLANTA,203.28,0,0,0,0,0,0,0,0,203.28,"1,380,788","1.159.895,026752",0,0,0,0,0,0,0,0,"1.159.895,026752","102,452"
PF75,SALAMI PEPERONI AHUM,,,,BAHIA MERCURIO,23.383,0,-1.276,0,0,0,0,0,0,22.107,"150,163","1.180.841,5",0,-64.438,0,0,0,0,0,0,"1.116.403,5","98,611"
EA23,CAMARAS,,,,BODEGA,3,0,0,0,0,0,0,0,0,3,2,1.110.000,0,0,0,0,0,0,0,0,1.110.000,"98,045"
DH60,TAPA 16 OZ PL,,,,BODEGA,10.1,0,0,0,0,0,0,0,0,10.1,"68,605",1.096.860,0,0,0,0,0,0,0,0,1.096.860,"96,885"
EI63,REGULADOR DE VOLTAJE,,,,BAHIA MERCURIO,2,0,0,0,0,0,0,0,0,2,14,1.092.438,0,0,0,0,0,0,0,0,1.092.438,"96,494"
UT77,MOLDE COBRE TORTA PL,,,,PLANTA,52,0,0,0,0,0,0,0,0,52,353,1.075.100,0,0,0,0,0,0,0,0,1.075.100,"94,962"
AS33,DESENGRASANTE HORNOS 700ML,,,,MALL PLAZA,10.5,0,0,0,0,0,0,0,0,10.5,"71,322",1.057.497,0,0,0,0,0,0,0,0,1.057.497,"93,408"
DH61,TAPA 7 OZ B CALIENTE,,,,BODEGA,5.3,0,0,0,0,0,0,0,0,5.3,36,1.054.700,0,0,0,0,0,0,0,0,1.054.700,"93,161"
MP16,ESENCIA VAINILLA PL,,,,PLANTA,13.544,0,0,0,0,0,0,0,0,13.544,"91,998","1.041.533,6",0,0,0,0,0,0,0,0,"1.041.533,6","91,998"
UT03,BANDEJA MADERA CUADRADA,,,,PLAZA CENTRAL,27,0,0,0,0,0,0,0,0,27,183,"1.021.008,24",0,0,0,0,0,0,0,0,"1.021.008,24","90,185"
MP11,CARNE PL,,,,PLANTA,30.43,0,0,0,0,0,0,0,0,30.43,"206,697","1.003.447,508",0,0,0,0,0,0,0,0,"1.003.447,508","88,634"
PF40,LECHE BOLS ENTE PL,,,,PLANTA,277.2,0,0,0,0,0,0,0,0,277.2,"1,882,892","997.171,56",0,0,0,0,0,0,0,0,"997.171,56","88,079"
EI28,HORNO TOSTAD INDUST,,,,BAHIA MERCURIO,1,0,0,0,0,0,0,0,0,1,7,980,0,0,0,0,0,0,0,0,980,"86,562"
EI28,HORNO TOSTAD INDUST,,,,CENTRO MAYOR,1,0,0,0,0,0,0,0,0,1,7,980,0,0,0,0,0,0,0,0,980,"86,562"
EI28,HORNO TOSTAD INDUST,,,,ENSUEÑO,1,0,0,0,0,0,0,0,0,1,7,980,0,0,0,0,0,0,0,0,980,"86,562"
EI28,HORNO TOSTAD INDUST,,,,NUESTRO BOGOTA,1,0,0,0,0,0,0,0,0,1,7,980,0,0,0,0,0,0,0,0,980,"86,562"
EI28,HORNO TOSTAD INDUST,,,,PLAZA CENTRAL,1,0,0,0,0,0,0,0,0,1,7,980,0,0,0,0,0,0,0,0,980,"86,562"
EA03,CELULAR DOMICILIOS,,,,MALL PLAZA,3,0,0,0,0,0,0,0,0,3,2,959.7,0,0,0,0,0,0,0,0,959.7,"84,769"
PF17,CAFE BLEND ESPRESSO,,,,RESTREPO,18.185,0,-318,0,0,0,0,0,0,17.867,"121,362",927.435,0,-16.218,0,0,0,0,0,0,911.217,"80,487"
EA15,PANTALLAS PARED,,,,ENSUEÑO,1,0,0,0,0,0,0,0,0,1,7,900,0,0,0,0,0,0,0,0,900,"79,496"
PF17,CAFE BLEND ESPRESSO,,,,PLAZA CENTRAL,17.987,0,-446,0,0,0,0,0,0,17.541,"119,148",917.337,0,-22.746,0,0,0,0,0,0,894.591,"79,018"
UT03,BANDEJA MADERA CUADRADA,,,,MALL PLAZA,23,0,0,0,0,0,0,0,0,23,156,"869.747,76",0,0,0,0,0,0,0,0,"869.747,76","76,824"
PS07,PREMEZCLA AVENA,,,,PLANTA,150,0,0,0,0,0,0,0,0,150,"1,018,881","855.884,76",0,0,0,0,0,0,0,0,"855.884,76","75,599"
UT03,BANDEJA MADERA CUADRADA,,,,CENTRO MAYOR,22,0,0,0,0,0,0,0,0,22,149,"831.932,64",0,0,0,0,0,0,0,0,"831.932,64","73,484"
PF17,CAFE BLEND ESPRESSO,,,,CENTRO MAYOR,"16.611,5",0,-495,0,0,0,0,0,0,"16.116,5","109,472","847.186,5",0,-25.245,0,0,0,0,0,0,"821.941,5","72,601"
PI28,SALSA DE FRUTOS ROJO TORTA ARANDANO,,,,GRAN ESTACION,1.483,0,-140,0,0,0,0,0,0,1.343,"9,122","896.573,1576",0,"-84.639,408",0,0,0,0,0,0,"811.933,7496","71,717"
MB28,TABLA EXHIB PROD GR,,,,CENTRO MAYOR,8,0,0,0,0,0,0,0,0,8,54,810.924,0,0,0,0,0,0,0,0,810.924,"71,628"
PF40,LECHE BOLS ENTE PL,,,,BOSA,204.58,0,-3.7,0,0,0,0,0,0,200.88,"1,364,486",818.32,0,-14.8,0,0,0,0,0,0,803.52,"70,974"
PL33,ROLLO ETIQUETAS MP GRANDE,,,,BODEGA,27,0,0,0,0,0,0,0,0,27,183,783,0,0,0,0,0,0,0,0,783,"69,162"
DH78,VINIPEL ROLLO GRA PL,,,,PLANTA,"66.877,75",0,0,0,0,0,0,0,0,"66.877,75","45,427","777.453,84375",0,0,0,0,0,0,0,0,"777.453,84375","68,672"
EH02,CANECA BASURA,,,,PLANTA,7,0,0,0,0,0,0,0,0,7,48,770.539,0,0,0,0,0,0,0,0,770.539,"68,061"
DH41,GUANTES NITRIL PL,,,,BODEGA,1.186,0,0,0,0,0,0,0,0,1.186,"8,056","747.464,64",0,0,0,0,0,0,0,0,"747.464,64","66,023"
EA23,CAMARAS,,,,DIVER PLAZA,2,0,0,0,0,0,0,0,0,2,14,740,0,0,0,0,0,0,0,0,740,"65,363"
EA23,CAMARAS,,,,ENSUEÑO,2,0,0,0,0,0,0,0,0,2,14,740,0,0,0,0,0,0,0,0,740,"65,363"
EA23,CAMARAS,,,,GRAN ESTACION,2,0,0,0,0,0,0,0,0,2,14,740,0,0,0,0,0,0,0,0,740,"65,363"
EA23,CAMARAS,,,,NUESTRO BOGOTA,2,0,0,0,0,0,0,0,0,2,14,740,0,0,0,0,0,0,0,0,740,"65,363"
IC12,AZUCAR PL,,,,PLANTA,262.603,0,0,0,0,0,0,0,0,262.603,"1,783,741","735.288,4",0,0,0,0,0,0,0,0,"735.288,4","64,947"
UT03,BANDEJA MADERA CUADRADA,,,,BODEGA,19,0,0,0,0,0,0,0,0,19,129,"718.487,28",0,0,0,0,0,0,0,0,"718.487,28","63,463"
DH58,TAPA 12 OZ BEBI CAL,,,,BODEGA,3,0,0,0,0,0,0,0,0,3,"20,378",708,0,0,0,0,0,0,0,0,708,"62,537"
EA10,IMPRESORA TERM,,,,MALL PLAZA,4,0,0,0,0,0,0,0,0,4,27,705.648,0,0,0,0,0,0,0,0,705.648,"62,329"
MP22,LECHE CONDEN PL,,,,PLANTA,59,0,0,0,0,0,0,0,0,59,"40,076","696.607,1",0,0,0,0,0,0,0,0,"696.607,1","61,531"
PF13,AROMATICA TRO,,,,BODEGA,428,0,0,0,0,0,0,0,0,428,"2,907","683.357,64",0,0,0,0,0,0,0,0,"683.357,64","6,036"
AS26,ROLLO WYPAL TOAL,,,,BODEGA,1.02,0,0,0,0,0,0,0,0,1.02,"6,928","674.718,78",0,0,0,0,0,0,0,0,"674.718,78","59,597"
DH56,ROLLO ROT PROD TERM PEQUE,,,,BODEGA,27,0,0,0,0,0,0,0,0,27,183,661.5,0,0,0,0,0,0,0,0,661.5,"5,843"
IC65,TAPA AVENA MASATO PL,,,,BODEGA,11.449,0,0,0,0,0,0,0,0,11.449,"77,768","660.607,3",0,0,0,0,0,0,0,0,"660.607,3","58,351"
PF17,CAFE BLEND ESPRESSO,,,,CAFAM FLORESTA,"13.005,5",0,"-252,5",0,0,0,0,0,0,12.753,"86,625","663.280,5",0,"-12.877,5",0,0,0,0,0,0,650.403,"57,449"
AS18,JABON IND BIO GARRF,,,,BODEGA,100,0,0,0,0,0,0,0,0,100,"679,254",642.9,0,0,0,0,0,0,0,0,642.9,"56,787"
EA03,CELULAR DOMICILIOS,,,,BAHIA MERCURIO,2,0,0,0,0,0,0,0,0,2,14,639.8,0,0,0,0,0,0,0,0,639.8,"56,513"
EA03,CELULAR DOMICILIOS,,,,ENSUEÑO,2,0,0,0,0,0,0,0,0,2,14,639.8,0,0,0,0,0,0,0,0,639.8,"56,513"
EA03,CELULAR DOMICILIOS,,,,PLAZA CENTRAL,2,0,0,0,0,0,0,0,0,2,14,639.8,0,0,0,0,0,0,0,0,639.8,"56,513"
EA03,CELULAR DOMICILIOS,,,,RESTREPO,2,0,0,0,0,0,0,0,0,2,14,639.8,0,0,0,0,0,0,0,0,639.8,"56,513"
EA03,CELULAR DOMICILIOS,,,,TERREROS,2,0,0,0,0,0,0,0,0,2,14,639.8,0,0,0,0,0,0,0,0,639.8,"56,513"
PF17,CAFE BLEND ESPRESSO,,,,DIVER PLAZA,12.735,0,-375,0,0,0,0,0,0,12.36,"83,956",649.485,0,-19.125,0,0,0,0,0,0,630.36,"55,679"
PF81,TE CHAI GR,,,,GRAN ESTACION,3.133,0,0,0,0,0,0,0,0,3.133,"21,281","621.538,9518",0,0,0,0,0,0,0,0,"621.538,9518",549
UT03,BANDEJA MADERA CUADRADA,,,,RESTREPO,16,0,0,0,0,0,0,0,0,16,109,"605.041,92",0,0,0,0,0,0,0,0,"605.041,92","53,443"
UT27,JARRA CREMAR LECHE,,,,BODEGA,10,0,0,0,0,0,0,0,0,10,68,595,0,0,0,0,0,0,0,0,595,"52,556"
DH36,ESTUCHE AREPAS,,,,SAN ANDRESITO DE LA 38,800,0,0,0,0,0,0,0,0,800,"5,434",587.28,0,0,0,0,0,0,0,0,587.28,"51,874"
DH98,CAJA TORTA PORC LLEVAR,,,,PLAZA CENTRAL,400,0,0,0,0,0,0,0,0,400,"2,717",580,0,0,0,0,0,0,0,0,580,"51,231"
AS17,JABON DESENGRAS,,,,BODEGA,100,0,0,0,0,0,0,0,0,100,"679,254",576.4,0,0,0,0,0,0,0,0,576.4,"50,913"
